10	0.24	14.4	0.137							18	0.33	19.8	0.426		13	0.63	37.8	0.149		4	0.27	16.2	0.447		6	0.59	35.4	0.052		16	0.44	26.4	0.3		9	0.47	28.2	0.083
11	0.15	9	0.26							19	0.31	18.6	0.296		14	0.6	36	0.065		5	0.34	20.4	0.158		7	0.24	14.4	0.203		17	0.42	25.2	0.232		10	0.57	34.2	0.378
1	0.22	13.2	0.388							20	0.69	41.4	0.498		15	0.69	41.4	0.172		6	0.24	14.4	0.198		8	0.97	58.2	0.174		18	0.32	19.2	0.584		11	0.26	15.6	0.231
2	0.15	9	0.088							1	0.44	26.4	0.128		16	0.41	24.6	0.098		7	0.56	33.6	0.081		9	0.18	10.8	0.161		19	0.4	24	0.119		12	0.49	29.4	0.428
3	0.28	16.8	0.284							2	0.45	27	0.273		17	0.84	50.4	0.201		8	0.28	16.8	0.166		10	0.53	31.8	0.29		20	0.32	19.2	0.457		13	0.53	31.8	0.27
4	0.2	12	0.229							3	0.23	13.8	0.277		18	0.64	38.4	0.124		9	0.31	18.6	0.178		11	0.46	27.6	0.162		1	0.38	22.8	0.128		14	0.55	33	0.258
5	0.21	12.6	0.465							4	0.42	25.2	0.179		19	0.86	51.6	0.404		10	0.34	20.4	0.14		12	0.34	20.4	0.408		2	0.46	27.6	0.099		15	0.24	14.4	0.193
6	0.12	7.2	0.34							5	0.58	34.8	0.227		20	0.55	33	0.188		11	0.17	10.2	0.261		13	0.38	22.8	0.382		3	0.11	6.6	0.189		16	0.64	38.4	0.188
7	0.21	12.6	0.251							6	0.61	36.6	0.236		21	0.36	21.6	0.139		12	0.57	34.2	0.139		14	0.84	50.4	0.143		4	0.25	15	0.051		1	0.47	28.2	0.108
1	0.24	14.4	0.209							7	0.43	25.8	0.258		1	0.75	45	0.12		13	0.46	27.6	0.162		15	0.3	18	0.356		5	0.06	3.6	0.279		2	0.39	23.4	0.079
2	0.27	16.2	0.487							8	0.21	12.6	0.128		2	0.42	25.2	0.326		14	0.56	33.6	0.197		16	0.39	23.4	0.212		6	0.38	22.8	0.091		3	0.51	30.6	0.355
3	0.12	7.2	0.175							9	0.32	19.2	0.225		3	0.19	11.4	0.093		15	0.11	6.6	0.661		17	0.41	24.6	0.126		7	0.5	30	0.189		4	0.33	19.8	0.134
4	0.15	9	0.456							1	0.18	10.8	0.241		4	0.91	54.6	0.042		16	0.52	31.2	0.284		18	0.24	14.4	0.257		8	0.24	14.4	0.101		5	0.28	16.8	0.126
5	0.31	18.6	0.381							2	0.85	51	0.485		5	0.6	36	0.231		1	0.37	22.2	0.06		19	0.84	50.4	0.183		9	0.22	13.2	0.076		6	0.52	31.2	0.283
6	0.28	16.8	0.544							3	0.39	23.4	0.131		6	0.73	43.8	0.446		2	0.18	10.8	0.146		20	0.26	15.6	0.33		10	0.18	10.8	0.072		7	0.46	27.6	0.217
7	0.19	11.4	0.405							4	0.46	27.6	0.027		7	0.76	45.6	0.208		3	0.74	44.4	0.337		21	0.42	25.2	0.329		11	0.17	10.2	0.269		8	0.52	31.2	0.17
8	0.3	18	0.087							5	0.49	29.4	0.243		8	0.64	38.4	0.149		4	0.75	45	0.145		22	0.46	27.6	0.44		12	0.74	44.4	0.384		9	0.2	12	0.122
9	0.32	19.2	0.436							6	0.59	35.4	0.225		9	0.45	27	0.225		5	0.31	18.6	0.075		23	0.24	14.4	0.206		13	0.39	23.4	0.296		10	0.54	32.4	0.286
10	0.19	11.4	0.335							7	0.47	28.2	0.424		10	0.84	50.4	0.073		6	0.16	9.6	0.146		1	0.42	25.2	0.042		14	0.54	32.4	0.324		11	0.26	15.6	0.311
11	0.19	11.4	0.361							8	0.38	22.8	0.169		11	0.39	23.4	0.275		7	0.34	20.4	0.353		2	0.31	18.6	0.175		15	0.73	43.8	0.159		12	0.28	16.8	0.111
12	0.23	13.8	0.117							9	0.5	30	0.111		12	0.56	33.6	0.07		8	0.29	17.4	0.183		3	0.38	22.8	0.35		1	0.44	26.4	0.057		13	0.26	15.6	0.338
13	0.25	15	0.268							10	0.46	27.6	0.174		13	0.65	39	0.101		9	0.43	25.8	0.128		4	0.43	25.8	0.12		2	0.35	21	0.108		14	0.46	27.6	0.241
14	0.16	9.6	0.137							11	0.39	23.4	0.151		14	0.18	10.8	0.117		10	0.39	23.4	0.173		5	0.12	7.2	0.148		3	0.28	16.8	0.152		1	0.34	20.4	0.289
15	0.17	10.2	0.341							12	0.45	27	0.027		15	0.42	25.2	0.155		11	0.33	19.8	0.085		6	0.51	30.6	0.251		4	0.38	22.8	0.131		2	0.35	21	0.107
16	0.22	13.2	0.243							13	0.61	36.6	0.368		16	0.24	14.4	0.252		12	0.56	33.6	0.134		7	0.38	22.8	0.282		5	0.59	35.4	0.105		3	0.19	11.4	0.456
17	0.15	9	0.348							14	0.31	18.6	0.168		17	0.56	33.6	0.475		13	0.81	48.6	0.145		8	0.12	7.2	0.246		6	0.5	30	0.088		4	0.56	33.6	0.085
18	0.22	13.2	0.22							15	0.26	15.6	0.058		18	0.73	43.8	0.394		14	0.31	18.6	0.377		9	0.08	4.8	0.131		7	0.69	41.4	0.233		5	0.46	27.6	0.051
1	0.16	9.6	0.083							16	0.71	42.6	0.177		19	0.17	10.2	0.222		15	0.62	37.2	0.031		10	0.11	6.6	0.236		8	0.55	33	0.191		6	0.53	31.8	0.369
2	0.11	6.6	0.362							17	0.56	33.6	0.142		20	0.66	39.6	0.138		16	0.47	28.2	0.047		11	0.25	15	0.273		9	0.3	18	0.159		7	0.22	13.2	0.203
3	0.58	34.8	0.08							18	0.47	28.2	0.074		21	0.41	24.6	0.299		17	0.22	13.2	0.326		12	0.55	33	0.185		10	0.54	32.4	0.28		8	0.6	36	0.235
4	0.18	10.8	0.253							19	0.45	27	0.28		22	0.59	35.4	0.167		18	0.23	13.8	0.177		13	0.14	8.4	0.211		11	0.14	8.4	0.155		9	0.4	24	0.157
5	0.13	7.8	0.27							20	0.18	10.8	0.342							19	0.46	27.6	0.12		14	0.33	19.8	0.274		12	0.58	34.8	0.305		1	0.46	27.6	0.3
6	0.14	8.4	0.285							21	0.36	21.6	0.507							20	0.31	18.6	0.28		15	0.44	26.4	0.032		13	0.34	20.4	0.309		2	0.24	14.4	0.203
7	0.24	14.4	0.05							22	0.31	18.6	0.058							21	0.44	26.4	0.292		16	0.31	18.6	0.169		14	0.36	21.6	0.206					
8	0.12	7.2	0.204							23	0.23	13.8	0.318							1	0.22	13.2	0.264		17	0.75	45	0.2		15	0.33	19.8	0.316					
9	0.23	13.8	0.254							24	0.51	30.6	0.233							2	0.28	16.8	0.192		18	0.58	34.8	0.143										
10	0.28	16.8	0.58							25	0.64	38.4	0.1							3	0.3	18	0.215		19	0.37	22.2	0.147										
11	0.33	19.8	0.152							26	0.68	40.8	0.143							4	0.54	32.4	0.274		20	0.49	29.4	0.155										
12	0.2	12	0.204							27	0.29	17.4	0.147							5	0.31	18.6	0.232		21	0.34	20.4	0.072										
13	0.4	24	0.708							28	0.38	22.8	0.425							6	0.33	19.8	0.231		22	0.58	34.8	0.136										
14	0.24	14.4	0.227							29	0.34	20.4	0.396												23	0.52	31.2	0.299										
15	0.25	15	0.146							30	0.48	28.8	0.481												24	0.45	27	0.228										
16	0.19	11.4	0.669							31	0.73	43.8	0.186												25	0.35	21	0.255										
17	0.19	11.4	0.234							32	0.26	15.6	0.193												26	0.69	41.4	0.157										
18	0.19	11.4	0.2							33	0.4	24	0.142												27	0.46	27.6	0.324										
19	0.17	10.2	0.315							34	0.35	21	0.433												28	0.29	17.4	0.226										
										35	0.52	31.2	0.634												29	0.53	31.8	0.219										
										36	0.91	54.6	0.209												30	0.4	24	0.406										
										37	0.39	23.4	0.251												31	0.31	18.6	0.181										
										1	0.21	12.6	0.164												32	0.39	23.4	0.224										
										2	0.33	19.8	0.257												33	0.32	19.2	0.265										
										3	0.8	48	0.216												34	0.45	27	0.329										
										4	0.57	34.2	0.367												35	0.35	21	0.261										
										5	0.3	18	0.05												36	0.19	11.4	0.457										
										6	0.34	20.4	0.143												37	0.4	24	0.385										
										7	0.19	11.4	0.267												38	0.71	42.6	0.253										
										8	0.84	50.4	0.178												39	0.65	39	0.17										
										9	0.42	25.2	0.228												40	0.82	49.2	0.18										
										10	0.7	42	0.133												41	0.48	28.8	0.108										
										11	0.54	32.4	0.128												42	0.39	23.4	0.235										
										12	0.23	13.8	0.246												43	0.68	40.8	0.149										
										13	0.44	26.4	0.205																									
										14	0.2	12	0.372																									
										15	0.35	21	0.218																									
										16	0.55	33	0.139																									
										17	0.22	13.2	0.34																									
										18	0.75	45	0.252																									
										19	0.32	19.2	0.245																									
										20	0.45	27	0.726																									
										21	0.38	22.8	0.313																									
										22	0.67	40.2	0.418																									
										1	0.23	13.8	0.351																									
										2	0.43	25.8	0.173																									
										3	0.5	30	0.142																									
										4	0.53	31.8	0.088																									
										5	0.34	20.4	0.135																									
										6	0.59	35.4	0.142																									
										7	0.66	39.6	0.278																									
										8	0.29	17.4	0.211																									
										9	0.37	22.2	0.2																									
										10	0.71	42.6	0.199																									
										11	0.68	40.8	0.224																									
										12	0.26	15.6	0.197																									
										13	0.34	20.4	0.183																									
										14	0.92	55.2	0.119																									
